OBJECTID_1,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape__Area,Shape__Length,OBJECTID_1 1,SHAPE_1 1,Shape__Area 1,Shape__Length 1,Year,Month,Near AveTemp,Near MaxTemp,Near MinTemp,NearDist Temp,Near totalPrecip,Near HighPrecipDays,NearDist Precip,Interpolate Temp aveMax,Interpolate Temp aveMin,Interpolate Precip aveMax,Interpolate Precip aveMin,Interpolate AveTemp,Interpolate AvePrecip
154,G61649,2017100501.00000000,2017,Lightning,2017-G61649,9.40000000,20171005,20171019,20170809,Non-corrected airborne GPS,JA70003000,0.00000000,1373943.00000000,94340.91700000,1337.44030000,302474.74218750,2394.82364339,21249,0,302474.74220000,2394.82364300,2017,August,16.10000000,32.50000000,3.20000000,89.46872086,21.20000000,5,89.46872086,15.94796849,14.34168526,49.41226031,26.78787543,15.14482687,38.10006787
155,R40046,2017042501.00000000,2017,Person,2017-R40046,2.90000000,20170425,20170504,20170423,Non-corrected ground GPS,JA70003000,0.00000000,1373755.00000000,29017.78040000,1369.44400000,89039.78125000,2397.20436116,21446,0,89039.78125000,2397.20436100,2017,April,4.30000000,15.00000000,-5.50000000,44.12388178,31.80000000,11,44.12388178,6.14339035,4.38314936,33.41752529,20.32435988,5.26326985,26.870942585
156,C31824,2017082401.00000000,2017,Lightning,2017-C31824,14.60000000,20170824,20170825,20170720,Non-corrected airborne GPS,JA70003000,0.00000000,1374001.00000000,146173.86000000,1462.97580000,396386.96875000,2408.93460375,21169,0,396386.96880000,2408.93460400,2017,July,17.80000000,35.00000000,1.00000000,88.83978051,28.00000000,5,88.83978051,17.19626831,16.24650489,23.64313695,12.57891354,16.7213866,18.111025245
157,K10825,2017071801.00000000,2017,Lightning,2017-K10825,4.60000000,20170718,20170723,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1373910.00000000,46689.63960000,1508.99250000,119978.14062500,2418.88959434,21094,0,119978.14060000,2418.88959400,2017,July,19.90000000,38.00000000,4.00000000,45.07347061,21.00000000,5,45.07347061,20.83530546,19.55349511,23.64313695,12.57891354,20.19440028,18.111025245
158,VA0872,2017071401.00000000,2017,Lightning,2017-VA0872,3.90000000,20170714,20171016,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1373712.00000000,39497.82510000,1458.81210000,108649.74218750,2419.80023745,21518,0,108649.74220000,2419.80023700,2017,July,16.60000000,28.40000000,6.60000000,79.83484258,26.30000000,6,79.83484258,14.96469454,13.23475030,23.64313695,12.57891354,14.09972242,18.111025245
159,C10018,2018041901.00000000,2018,Person,2018-C10018,8.90000000,20180419,20180607,20171030,Non-corrected ground GPS,JA70003000,0.00000000,1374537.00000000,89817.41150000,1480.45040000,246575.36718750,2452.68244227,21624,0,246575.36720000,2452.68244200,2017,October,10.50000000,22.00000000,1.50000000,39.95101775,517.90000000,16,39.95101775,6.42350234,4.95090054,50.94761922,30.98606912,5.68720144,40.96684417
160,K20609,2017070601.00000000,2017,Person,2017-K20609,9.10000000,20170706,20170815,20170705,Non-corrected ground GPS,JA70003000,0.00000000,1373897.00000000,91271.73650000,1565.29970000,227321.50781250,2469.91727283,21040,0,227321.50780000,2469.91727300,2017,July,23.00000000,38.50000000,8.20000000,11.91608039,3.40000000,1,11.91608039,22.56524970,20.83530546,3.42045875,1.69609347,21.70027758,2.55827611
161,G80092,2017050701.00000000,2017,Person,2017-G80092,6.20000000,20170507,20170511,20170507,Unknown,JA70003000,0.00000000,1373932.00000000,62470.77690000,1403.02190000,202466.91406250,2527.80724908,21209,0,202466.91410000,2527.80724900,2017,May,9.20000000,25.90000000,-4.10000000,55.55921262,6.80000000,3,55.55921262,11.49686605,10.26234991,100.51813920,75.65968838,10.87960798,88.08891379
162,C31934,2017090301.00000000,2017,Lightning,2017-C31934,14.30000000,20170903,20170904,20170716,Non-corrected airborne GPS,JA70003000,0.00000000,1374000.00000000,143765.17190000,1550.47360000,391433.57812500,2558.68530221,21168,0,391433.57810000,2558.68530200,2017,July,13.40000000,31.50000000,-3.00000000,70.82738478,2.40000000,1,70.82738478,16.24650489,14.96469454,23.64313695,12.57891354,15.60559971,18.111025245
163,G90112,2017051901.00000000,2017,Lightning,2017-G90112,2.80000000,20170615,20170615,20170518,Ozi,JA70003000,0.00000000,1373930.00000000,28344.85380000,1336.05030000,104048.96093750,2559.83634873,21187,0,104048.96090000,2559.83634900,2017,May,9.00000000,23.00000000,-3.00000000,20.38779226,61.60000000,10,20.38779226,11.49686605,10.26234991,75.65968838,61.16866490,10.87960798,68.41417664
